Brand,Material,Product Name,Tg_Celsius,HDT_Celsius,Extruder_Temp_C,Bed_Temp_C,Diameter_mm,Hardware_Requirements,Enclosure,Hardened_Nozzle_Required,All_Metal_Hotend_Required,Min_Hotend_Temp_C,Tensile_Strength_MPa,Flexural_Modulus_GPa,Impact_Resistance_kJ_m2,Shore_Hardness,Chemical_Resistance,UV_Resistance,Flame_Retardancy_UL94,Retraction_Speed_mm_s,Retraction_Distance_mm,Missing_Data_Flags,Tg_Source,Data_Gap_vs_SpoolmanDB
3DXTECH,PEI,3DXSTAT ESD-PEI Ultem 1010 (Black),217,210,360-390,140-160,1.75,Enclosure Required; All-Metal Hotend Required; High-Temp Hotend (410C+),Required,FALSE,TRUE,410,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-35,2-Jan,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,3DXTech ESD-PEI Ultem 1010 product page,SpoolmanDB has 0 PEI entries — this material class is entirely absent from community databases
3DXTECH,PEI,ThermaX PEI 9085 (Natural),186,165,340-380,130-150,1.75,Enclosure Required; All-Metal Hotend Required; High-Temp Hotend (380C+),Required,FALSE,TRUE,380,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-35,2-Jan,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,3DXTech ThermaX PEI 9085 product page,SpoolmanDB has 0 PEI entries — this material class is entirely absent from community databases
3DXTECH,PEI,CarbonX PEI 9085+CF (Black),186,165,340-380,130-150,1.75,Enclosure Required; Hardened Nozzle Required; All-Metal Hotend Required; High-Temp Hotend (380C+),Required,TRUE,TRUE,380,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-30,Reduce or disable,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,3DXTech CarbonX PEI 9085+CF product page,SpoolmanDB has 0 PEI entries — CF composite variant also absent
Stratasys,PEI,ULTEM 9085 (Ivory),186,165,340-380,130-150,1.75,Enclosure Required; All-Metal Hotend Required; High-Temp Hotend (380C+),Required,FALSE,TRUE,380,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-35,2-Jan,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,Stratasys ULTEM 9085 TDS,SpoolmanDB has 0 PEI/Ultem entries — industrial-only material
Stratasys,PEI,ULTEM 1010 (Natural),217,210,360-410,140-160,1.75,Enclosure Required; All-Metal Hotend Required; High-Temp Hotend (410C+),Required,FALSE,TRUE,410,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-35,2-Jan,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,Stratasys ULTEM 1010 TDS,SpoolmanDB has 0 PEI/Ultem entries — industrial-only material
3DXTECH,PEKK,ThermaX PEKK-A (Natural),160,150,360-390,120-140,1.75,Enclosure Recommended; Hardened Nozzle Required; All-Metal Hotend Required; High-Temp Hotend (390C+),Recommended,TRUE,TRUE,390,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-35,2-Jan,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,3DXTech ThermaX PEKK-A product page,SpoolmanDB has 0 PEKK entries — ultra-premium material absent from community DB
3DXTECH,PEKK,CarbonX PEKK-A+CF15 (Black),160,150,360-390,120-140,1.75,Enclosure Recommended; Hardened Nozzle Required; All-Metal Hotend Required; High-Temp Hotend (390C+),Recommended,TRUE,TRUE,390,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-30,Reduce or disable,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,3DXTech CarbonX PEKK-A+CF15 product page (Tg 160C stated explicitly),SpoolmanDB has 0 PEKK entries — CF composite variant also absent
Solvay,PEKK,KetaSpire PEKK (Natural),160,155,360-400,120-150,1.75,Enclosure Recommended; All-Metal Hotend Required; High-Temp Hotend (400C+),Recommended,FALSE,TRUE,400,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-35,2-Jan,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,Solvay KetaSpire PEKK TDS,SpoolmanDB has 0 PEKK entries — industrial resin supplier not in community DB
Victrex,PEEK,VICTREX PEEK 450G (Natural),143,160,375-420,120-160,1.75,Enclosure Required; All-Metal Hotend Required; High-Temp Hotend (420C+),Required,FALSE,TRUE,420,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-30,2-Jan,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,Victrex PEEK 450G TDS (Tg 143C),SpoolmanDB has 0 PEEK entries — ultra-premium industrial material absent
3DXTECH,PEEK,ThermaX PEEK (Natural),143,140-160,375-410,130-145,1.75,Enclosure Required; All-Metal Hotend Required; High-Temp Hotend (410C+),Required,FALSE,TRUE,410,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,20-30,2-Jan,tensile_strength_mpa | flexural_modulus_gpa | impact_resistance_kj_m2 | shore_hardness | chemical_resistance | uv_resistance | flame_retardancy | retraction_speed,3DXTech ThermaX PEEK product page (Tg 143C stated explicitly),SpoolmanDB has 0 PEEK entries — ultra-premium material absent from community DB
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Note: For the full 1,291 entry verified database, visit: https://materialmetrics.lemonsqueezy.com/checkout/buy/6017da5f-1e63-41ab-9b4e-7395e44c6978",,,,,,,,,,,,,,,,,,,,,,
